annual_sales_quant,avg_sales_price,category,color,condition,description,highest_bid,lowest_ask,product_title,release_date,retail_price,style,ticker,year_high,year_low,,
1,175,collectibles,,New,"The Pico Taro 100% & 400% Set of Bearbricks depicts Japanese Entertainer and TV personality, Daimaou Kosaka, also known as Picotaro. The Pico Taro 100% & 400% Set Bearbrick released in 2018 and retailed at $88 USD.",,150,Bearbrick Pico Taro 100% & 400% Set Beige,,88,, BB-PIT14SBGE,175,175,,
1,50,collectibles,,Graded,,50,125,Saquon Barkley 2018 Panini Prizm Rookie #202,,,, PN-SB2PPR18,50,50,,
1,119,collectibles,,New,,,230,Bearbrick Atmos Scarf 100% & 400% Set Black,,108,, BB-ATS14SBK,119,119,,
,,streetwear,,New,,80,80,FEAR OF GOD ESSENTIALS Lemonade Sweatpants Yellow,9/6/19 0:00,90,, FOG-ESLSYW,,,,
,,streetwear,,New,,26,65,BAPE ABC Camo Flight Pouch Pink,9/30/19 0:00,,, B-ABCFPPK,,,,
,,streetwear,,New,,,273,BAPE ABC Camo Assortment Case (L) Green,9/30/19 0:00,,, BA-ABCCMASCSLGN,,,,
,,streetwear,,New,,,399,BAPE Sakura Ape Head Tee (FW19) White,9/30/19 0:00,99,, B-SAAHTWH,,,,
,,streetwear,,New,,,750,BAPE Tiger Embroidery Reversible Jacket Navy,9/30/19 0:00,669,, B-TIERJNV,,,,
,,streetwear,,New,,,250,Kanye West Jesus Is King Chicago Seal (Yeezy Promo) Crewneck White,9/28/19 0:00,140,, KY-JIKCSYPCRWH,,,,
,,streetwear,,New,,300,299,Kanye West Jesus Is King Chicago Gold II (Yeezy Promo) Crewneck Navy,9/28/19 0:00,140,, KY-JIKCGIIYPCNV,,,,
,,streetwear,,New,,,40,Palace Stuff Sock White,10/4/19 0:00,18,, PAL-STSWH,,,,
,,streetwear,,New,,50,150,BAPE Bicolor Side Kanji Logo Tee Red,9/30/19 0:00,99,, B-BISKLTRD,,,,
,,streetwear,,New,,500,699,BAPE Multi Color Snowboard Jacket Multi,9/7/19 0:00,559,, B-MUCSJMTI,,,,
,,streetwear,,New,,15,380,BAPE Embroidery Open Collar Shirt Black,9/30/19 0:00,275,, B-EMOCSBK,,,,
,,streetwear,,New,,,270,BAPE ABC Camo Clasp Mesh Shoulder Bag Pink,9/30/19 0:00,,, B-ABCCMSBPK,,,,
,,streetwear,,New,,29,240,Palace Specsaver Shirt Blue,10/4/19 0:00,128,, PAL-SPSBL,,,,
,,streetwear,,New,,53,200,BAPE Kabuki College Tee (FW19) Black,9/30/19 0:00,99,, B-KACTBK,,,,
